"Sexo, según DNI.",¿Qué edad tienes ?,¿Qué carrera estás estudiando actualmente?,¿En qué ciclo te encuentras actualmente ?,"¿Cuánto tiempo estás en la universidad? (Horas promedio por día) Ejemplo: 5 , 6.30. Determina el decimal con punto.",¿Qué lugares prefieres usar dentro de la universidad?,¿Qué ambientes te gustaría que se implementen en el nuevo campus UTEC?,¿Cree usted que se debería de implementar espacios recreativos? ,¿Cuántos lugares recreativos cree que sería conveniente tener la nueva ampliación de la universidad? ,"¿Cuánto tiempo te demoras en encontrar un lugar para estudiar? (Horas promedio por día)  (Determina el decimal con un punto ejemplo: 0.5 ,1 , 3)",Áreas verdes ,Salas de estudio (piso 1 y piso11),Biblioteca,Zonas recreativas,Laboratorios,Cubículos,Áreas verdes,Salas de estudio,Cubículos,Zonas recreativas ,Espacios recreativos,Sala de estudio,Cubículos,Biblioteca
F,21,Ciencia de Datos,9,6,Áreas verdes,"Áreas verdes, Salas de estudio, Cubículos, Auditorio, Gimnasio, Biblioteca, Zonas recreativas, Comedor",,,0.2,3,3,3,3,4,3,2,2,2,2,2,1,1,1
F,17,Ingeniería Mecatrónica,3,3,"Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas",,,1,3,4,3,4,5,4,4,3,15,2,1,1,2,1
M,23,Ingeniería Mecatrónica,5,6,Cubículos,Cubículos,,,1,5,4,3,4,4,5,3,1,15,2,3,1,6,2
M,17,Ingeniería Mecatrónica,2,6,"Biblioteca, Cubículos, Bloques de madera -Piso 6, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida",,,1,1,2,3,3,4,2,4,4,10,5,3,2,0,2
M,17,Ingeniería Industrial,2,6,"Aula, Cubículos, Áreas verdes","Salas de estudio, Aulas, Auditorio, Gimnasio, Campo deportivo, laboratorios, Zonas recreativas",,,1,4,4,5,5,5,5,2,20,50,3,1,2,2,1
F,17,Ingeniería Química,3,11,"Sala de Estudios - Piso11, Bloques de madera -Piso 6, Áreas verdes","Áreas verdes, Gimnasio, Zonas recreativas",,,1,3,3,4,3,4,3,3,3,5,2,0.5,3,1,2
M,19,Ciencias de la Computación,2,7.00,"Biblioteca, Sala de Estudios - Piso11","Salas de estudio, Gimnasio, Campo deportivo, Comedor con comida rápida",,,0.5,3,4,2,3,3,3,2,1,7,3,1,2,0,1
M,18,Ingeniería Industrial,2,8,"Cubículos, Sala de Estudios - Piso1, Auditorio de la universidad","Áreas verdes, Cubículos, Campo deportivo, Comedor con comida rápida",,,0.2,3,4,3,3,5,5,1,2,5,2,0.1,2,2,0.3
M,22,Ingeniería Industrial,6,12,Aula,"Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,125,5,5,4,5,5,5,3,3,10,2,2,2,0,0
M,18,Ingeniería Ambiental,2,8,"Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas, Comedor",,,0.5,4,3,1,2,1,4,7,3,6,3,2,2,2,0
M,18,Ciencias de la Computación,2,6,"Aula, Cubículos","Salas de estudio, Cubículos, Aulas, Comedor con comida rápida, laboratorios",,,0.3,4,5,5,4,5,5,3,10,10,4,2,3,2,3
M,18,Ingeniería Química,3,6,"Cubículos, Bloques de madera -Piso 6","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Zonas recreativas",,,0.5,3,4,5,4,4,5,3,2,10,3,1,0,2,0
M,19,Ingeniería Industrial,2,8,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,4,4,5,4,4,5,3,20,20,5,0,2,1,2
M,19,Ingeniería Industrial,2,8,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,0.5,4,4,5,4,4,4,3,20,20,5,0,2,1,3
M,25,Bioingeniería,8,5,Sala de Estudios - Piso11,Cubículos,,,1,3,3,3,3,5,4,4,8,8,3,4,4,10,2
M,20,Ingeniería Civil,2,5,"Biblioteca, Áreas verdes","Áreas verdes, Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,0.5,3,3,3,3,3,3,5,5,20,5,0.5,1,1,1
F,21,Ingeniería Industrial,8,9,"Aula, Cubículos, Sala de Estudios - Piso11, Auditorio de la universidad","Áreas verdes, Cubículos, Gimnasio, Comedor con comida rápida",,,0.5,3,2,4,3,5,5,2,3,20,1,1,2,2,3
F,20,Ingeniería Civil,4,5,"Aula, Cubículos, Sala de Estudios - Piso1, Áreas verdes","Áreas verdes, Salas de estudio, Cubículos, Aulas, Auditorio, Gimnasio, Campo deportivo, Comedor con comida rápida, Biblioteca, laboratorios, Zonas recreativas, Comedor",,,1,5,3,5,3,5,3,3,3,20,5,0.5,1,2,2
F,23,Ingeniería Química,6,6,"Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Campo deportivo",,,1,3,3,3,3,5,1,2,3,20,5,0,1,2,2
M,22,Ingeniería Mecatrónica,5,8,"Aula, Cubículos","Áreas verdes, Cubículos, Aulas, Gimnasio",,,1,3,3,4,3,5,3,0,0,2,1,0,0,2,0
F,18,Ingeniería Civil,2,6,"Biblioteca, Cubículos, Sala de Estudios - Piso11","Cubículos, Gimnasio, Campo deportivo, Zonas recreativas",,,3,3,4,3,4,4,4,4,4,10,3,3,1,1,2
M,20,Ingeniería Industrial,2,12,"Aula, Cubículos, Auditorio de la universidad, Zonas recreativas, Áreas verdes","Cubículos, Gimnasio, Campo deportivo",,,2,4,4,3,3,5,5,4,1,15,5,3,10,10,0
F,18,Ingeniería Industrial,2,3.5,Sala de Estudios - Piso11,Auditorio,,,1,2,4,3,4,2,3,2,1,5,6,2,1,3,2
F,18,Ingeniería Industrial,2,8,"Bloques de madera -Piso 6, Auditorio de la universidad","Áreas verdes, Auditorio, Gimnasio, Comedor con comida rápida, laboratorios, Comedor",,,0.5,3,3,3,3,3,3,3,5,5,2,1,1,2,1
M,20,Ingeniería Industrial,2,6,"Biblioteca, Aula, Áreas verdes","Áreas verdes, Gimnasio, Campo deportivo, Zonas recreativas",,,0.1,3,4,5,5,4,5,1,5,4,3,3,0,0,3
F,20,Ingeniería Química,3,5.,"Biblioteca, Cubículos, Zonas recreativas, Áreas verdes","Áreas verdes, Campo deportivo, laboratorios",,,1,4,4,5,5,5,5,2,1,2,1,1,2,1,2
F,18,Ingeniería Química,3,5,Biblioteca,"Áreas verdes, Gimnasio, Campo deportivo, Comedor con comida rápida",,,1,3,2,4,3,3,3,5,3,2,2,2,3,2,3
F,20,Ingeniería Industrial,2,7.8,Aula,"Salas de estudio, Comedor",,,0.35,3,3,3,3,3,3,1,2,3,2,0.0,0.0,1,0.0
F,20,Bioingeniería,2,7,Bloques de madera -Piso 6,"Áreas verdes, Comedor con comida rápida, Zonas recreativas, Comedor",,,1,3,3,3,1,3,2,4,13,8,5,2,4,1,1
F,19,Ingeniería Industrial,4,6,"Cubículos, Sala de Estudios - Piso11, Áreas verdes","Áreas verdes, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, laboratorios, Zonas recreativas",,,0.3,2,4,5,1,5,5,4,3,10,2,0,0,2,3
F,20,Ciencia de Datos,4,10,"Biblioteca, Cubículos, Sala de Estudios - Piso1","Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Comedor con comida rápida, Zonas recreativas",,,0.5,1,3,5,2,5,4,3,4,10,2,0,1,2,10
F,21,Ingeniería Ambiental,5,10,"Cubículos, Sala de Estudios - Piso11, Auditorio de la universidad","Salas de estudio, Cubículos, Gimnasio, Campo deportivo, Biblioteca, laboratorios",,,0.5,1,3,5,2,5,4,4,5,10,2,0,1,2.5,10
M,19,Ciencia de Datos,3,6,"Biblioteca, Aula, Cubículos","Áreas verdes, Salas de estudio, Cubículos, Gimnasio, Biblioteca, Zonas recreativas",,,0.5,5,3,5,2,5,4,2,3,10,2,2,0,10,1
