Ciclo,Edad,Sexo,Sociable_Antes,Sociable_despues,Manera_socializar,Mejor_desenvolvimiento,Personalidad_antes,Amigos_totales,Cantidad_redes_sociales,Amigos_whassap,Amigos_telegram,Dialogo_amigos_presencial,Redes_sociales_1a5,Dialogo_amigos_virtual,Tiempo_telegram,Tiempo_whatsapp,Tiempo_instagram,Tiempo_facebook,Seguidores_instagram,Contactos_amigos,amigo_facebook,cantidad_grupo_sercano
1,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,25,18,10,0,20,Muy necesario,15,0,5,2,2,64,15,20,4
1,17,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,80,17,6,0,2,Necesario,5,0,3,2,0,80,60,10,9
1,17,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Introvertida,125,17,14,2,4,Necesario,1.333,0.417,2.833,7.333,0.25,245,123,20,10
2,18,Varon,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,30,18,5,1,2,Muy necesario,2,0,5,1,0,1,50,1,5
2,18,Varon,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,10,18,7,0,1,Nada necesario,4,0,0.95,0,2,3,10,6,10
10,19,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,23,19,30,18,30,Necesario,1.033,12.383,15.2,15.167,14.2,16,69,10,50
4,18,Mujer,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,30,18,5,0,4,Poco necesario,2,0,5,6,0,1651,367,12,10
4,18,Varon,2.Sociable,2.Sociable,Virtual,Reunión de zoom,Extrovertida,100,18,5,0,40,Necesario,4,0,10,2,1,200,200,50,5
5,18,Varon,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,100,18,5,0,4,Necesario,1,0,1,2,0,600,200,10,10
5,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,76,18,4,0,6,Muy necesario,5,0,3,2,0,212,54,56,3
5,18,Mujer,2.Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,27,18,10,0,6,Necesario,5,0,0.667,1.667,0,470,100,30,10
5,18,Varon,3.Muy_sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,30,18,3,0,8,Poco necesario,5,0,3,3,0.5,626,80,12,5
5,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,5,18,5,1,3,Necesario,1,0.5,2,2,0,789,219,30,5
2,18,Mujer,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,5,18,8,2,9,Necesario,5,1,12,6,0,500,100,10,5
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,100,18,7,1,4,Poco necesario,4,0,4,0.5,0.5,30,50,50,5
2,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,6,18,3,0,21,Necesario,15,0.083,5.5,1,1,50,70,60,3
5,18,Varon,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,30,18,3,0,3,Nada necesario,2,0,2,2,0,175,100,12,5
5,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,30,18,12,0,7,Necesario,4,0,2,2,0,220,250,30,6
2,16,Varon,2.Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,1,16,5,9,8,Totalmente necesario,9.15,8.133,9.15,9.15,3.133,9,9,9,7
4,18,Varon,3.Muy_sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,300,18,10,2,60,Necesario,0.333,0.5,1,0.75,0.667,127,220,30,10
6,18,Varon,1.Poco_Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,60,18,5,0,4,Muy necesario,4.5,0,6,3,0.167,550,786,16,11
4,18,Mujer,1.Poco_Sociable,1.Poco_Sociable,Presencial,Salón de clases,Introvertida,10,18,4,0,30,Muy necesario,10,0,3,1,0,744,30,50,3
3,18,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,20,18,1,0,2,Muy necesario,1,0.333,8,8,1,367,120,30,2
4,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Introvertida,50,18,7,0,20,Necesario,5.75,0,5,8,1,70,40,20,18
10,26,Mujer,3.Muy_sociable,1.Poco_Sociable,Presencial,Salón de clases,Extrovertida,45,26,1,0,80,Muy necesario,10.5,0,17,10,0,373,50,1,4
3,18,Varon,2.Sociable,3.Muy_sociable,Presencial,Salón de clases,Extrovertida,16,18,5,0,13,Necesario,5.667,0,5,4,0,530,494,70,4
1,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,10,18,5,1,1,Muy necesario,11,1,10,5,1.5,555,200,2,4
6,18,Varon,2.Sociable,2.Sociable,Presencial,Salón de clases,Extrovertida,53,18,7,0,20,Muy necesario,21,0,0.667,7,0.333,363,133,53,25
1,17,Mujer,1.Poco_Sociable,2.Sociable,Presencial,Reunión de zoom,Introvertida,10,17,3,0,3,Muy necesario,20,0,3,3,0,140,85,10,2
