GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
FEMENINO,Ingeniería Civil,Smartphone,Canva,"HP, Samsung",Cursos de carrera,16,Quinto superior,Segundo,Regular,Mucho,7,2,500,6,3600,16,6
MASCULINO,Ingeniería Mecánica,Laptop,One Note,Lenovo,Cursos de gestión,15,Medio superior,Quinto,Regular,Mucho,4,3,120,5,2700,13.5,6
MASCULINO,Ingeniería Mecatrónica,Smartphone,Word,"Dell, Apple","Humanidades, Arte y Ciencias sociales(HACS)",14,Medio superior,Quinto,Regular,Regular,5,3,120,5,1000,13.43,7
FEMENINO,Ingeniería Mecatrónica,Smartphone,Word,"Acer, Samsung",Ciencias Generales,13.39,Tercio superior,Cuarto,Poco,Regular,3,2,180,4,600,13.8,3
MASCULINO,Bioingeniería,Laptop,Power point,"Lenovo, HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",19,Ninguno de los anteriores,Cuarto,Regular,Regular,3,2,120,5,1400,14.33,3
FEMENINO,Ingeniería Electrónica,Smartphone,Rstudio,Xiaomi,Ciencias Generales,20,Decimo superior,Tercero,Mucho,Mucho,4,2,300,6,3000,17.35,7
FEMENINO,Ingeniería Química,Laptop,Word,"Asus, Samsung",Ciencias Generales,17,Tercio superior,Segundo,Mucho,Mucho,4,2,360,5,5000,16,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Otro,Dell,Ciencias Generales,19,Tercio superior,Sexto,Regular,Regular,8,2,500,5,3000,16.5,6
MASCULINO,Ingeniería Mecatrónica,Laptop,Kahoot,"HP, Asus",Cursos de carrera,19,Tercio superior,Tercero,Regular,Regular,3,2,360,6,2000,16.55,5
MASCULINO,Ingeniería Ambiental,Laptop,Otro,HP,Cursos de carrera,16,Medio superior,Cuarto,Regular,Mucho,7,1,180,5,2500,14.5,5
