IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2022-1,Sí,D,No becado,150,3,11,Metropolitano o tren,50,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, si administra",A veces,Eventos de UTEC,30,0,Buena,2,Sí,1,Muy eficiente,0
2021-2,No,E,Becado,50,4,12,Otros,0,Soy postpago,6,Ahorra casi todo,Sí,"No conoce, si administra",A veces,Otros,20,1,Buena,2,Sí,4,Eficiente,0
2021-2,Sí,E,Becado,100,6,12,Metropolitano o tren,10,Soy postpago,6,Ahorra todo,No,"No conoce, no administra",Rara vez,Tik Tok,20,0,Muy mala,0,No,5,Ineficiente,0
2019-2,No,E,Becado,300,2,12,Otros,0,Soy prepago,6,Ahorra casi todo,Sí,"No conoce, si administra",Rara vez,Podcast,20,1,Regular,2,Sí,5,Eficiente,20
2022-2,No,E,Becado,80,3,13,Bus,50,Soy prepago,5,Ahorra casi todo,Sí,"Si conoce, no administra",Rara vez,Otros,2,1,Mala,1,No,1,Poco eficiente,0
2021-2,No,E,Becado,150,0,15,Metropolitano o tren,150,Soy prepago,5,Ahorra todo,No,"No conoce, si administra",Rara vez,Tik Tok,10,0,Excelente,0,Sí,3,Muy eficiente,5
2021-2,No,E,Becado,70,6,13,Otros,0,Soy postpago,6,Ahorra casi nada,No,"No conoce, si administra",Casi nunca,Instagram,5,0,Mala,0,Sí,2,Poco eficiente,0
2021-2,No,E,Becado,30,2,11,Metropolitano o tren,7,Soy postpago,5,Ahorra todo,Sí,"No conoce, si administra",Rara vez,Instagram,8,0,Regular,1,Sí,1,"Ni eficiente, ni ineficiente",0
2021-2,Sí,E,Becado,200,0,14,Metropolitano o tren,60,Soy prepago,4,Ahorra todo,Sí,"Si conoce, si administra",A veces,Podcast,30,2,Buena,0,Sí,2,Eficiente,10
2020-1,No,B,No becado,50,2,20,Metropolitano o tren,25,Soy postpago,6,Ahorra un poco,Sí,"Si conoce, si administra",Siempre,Tik Tok,14,1,Excelente,2,No,2,Muy eficiente,0
2020-1,No,D,Credito educativo,50,2,15,Metropolitano o tren,25,Soy postpago,6,Ahorra un poco,No,"No conoce, si administra",A veces,Instagram,0,0,Regular,0,Sí,0,Poco eficiente,0
2022-2,No,E,Becado,140,5,12,Metropolitano o tren,40,Soy postpago,5,Ahorra un poco,Sí,"Si conoce, si administra",A veces,Otros,50,1,Regular,0,Sí,3,Muy eficiente,0
2022-1,No,B,No becado,50,4,15,Otros,7,Soy prepago,4,Ahorra casi todo,Sí,"No conoce, si administra",Casi siempre,Eventos de UTEC,10,2,Buena,0,Sí,0,Eficiente,0
2022-2,No,E,No becado,160,2,14,Metropolitano o tren,12,Soy postpago,5,Ahorra casi todo,No,"No conoce, si administra",A veces,Tik Tok,10,1,Regular,0,Sí,1,Poco eficiente,0
2018-1,Sí,E,No becado,40,3,24,Bus,30,Soy postpago,5,Ahorra todo,No,"No conoce, no administra",Rara vez,Tik Tok,50,0,Regular,2,Sí,2,Poco eficiente,0
2021-1,No,E,No becado,80,2,25,Bus,16,Soy postpago,4,Ahorra casi todo,Sí,"Si conoce, no administra",A veces,Podcast,25,0,Regular,2,Sí,0,Eficiente,0
2018-1,No,D,No becado,72,5,12,Metropolitano o tren,12,Soy postpago,6,Ahorra todo,No,"Si conoce, si administra",A veces,Instagram,5,2,Excelente,2,Sí,1,Muy eficiente,0
