Sexo,Edad,Carrera,Ciclo,Comodidad,Herramienta,GastoMaxD,GastoMaxT,TiempoD,TiempoT,HerramientasD,HerramientasT,AprendizajeD,AprendizajeT,Importancia
Femenino,17,Ing. Química,3,Tradicional,Cuaderno,3500,50,6.5,8,3,4,2,4,Totalmente de acuerdo
Masculino,18,Ing. Civil,3,Tradicional,Cuaderno,3200,10,8.17,8,0,4,1,1,Indeciso
Femenino,18,Bioingeniería,4,Tradicional,Laptop,6000,20,10,10,3,4,3,5,De acuerdo
Masculino,18,Ing. Mecatrónica,3,Tradicional,Laptop,8500,35,6.58,3.37,3,5,4,4,Totalmente en desacuerdo
Femenino,19,Ing. Ambiental,4,Digital,Bloc de Notas,3100,35,8,4,2,5,5,5,De acuerdo
Masculino,20,Ing. Civil,4,Tradicional,Cuaderno,0,12,4.5,4.5,2,5,4,5,En desacuerdo
Femenino,18,Ciencias de la Computación,3,Tradicional,Laptop,2000,50,6.5,5,3,5,3,5,Totalmente de acuerdo
Femenino,19,Ing. Civil,4,Tradicional,Laptop,4000,50,5.5,5.5,0,5,1,5,De acuerdo
Femenino,18,Ing. Industrial,3,Tradicional,Laptop,8000,36,7,4,2,6,4,5,De acuerdo
Masculino,20,Ing. Civil,4,Tradicional,Cuaderno,2000,20,3,4.5,2,6,3,4,De acuerdo
Masculino,20,Ing. Civil,4,Tradicional,Bloc de Notas,3600,60,8,6,2,6,3,4,De acuerdo
