CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,12,6,4,84.64,33.4,3.1,11.1,3.9,1719.2
112192,ATE,2015,12,6,5,126.74,45.2,15.7,13.2,5.2,1862.1
112192,ATE,2015,12,6,6,153.75,74,21.7,15,5.4,1946.4
112192,ATE,2015,12,6,7,114.85,81.7,12.7,5.2,7.4,1610.3
112192,ATE,2015,12,6,8,105.98,58.9,11.2,6.5,9.8,1597.3
112192,ATE,2015,12,6,9,128.56,75.3,8.7,7.8,14.8,1691.5
112192,ATE,2015,12,6,10,85.88,51.3,3.4,3.2,17.9,1682.3
112192,ATE,2015,12,6,11,90.81,43.4,6.5,4.2,23.5,1665.3
112192,ATE,2015,12,6,12,92.82,46.2,7.9,4,34,1587.7
112192,ATE,2015,12,6,13,96.06,43,9.3,5.2,42.5,1560.2
112192,ATE,2015,12,6,14,75.4,32.8,6,7.2,49.3,1480.5
112192,ATE,2015,12,6,15,69.93,21.9,2.8,8.3,45.5,1501.9
112192,ATE,2015,12,6,16,81.11,16.9,5.3,8.8,41.4,1484.6
112192,ATE,2015,12,6,17,82.02,22.6,8.8,9,31.4,1484.6
112192,ATE,2015,12,6,18,86.99,16.6,10.9,9.3,17.7,1614.8
112192,ATE,2015,12,6,19,114,20.6,15.4,17,7.7,1932.7
112192,ATE,2015,12,6,20,97.75,32.6,12.4,13.3,6.4,1933.4
112192,ATE,2015,12,6,21,97.75,30.9,10.2,13.2,6.1,1934.5
112192,ATE,2015,12,6,22,104.45,33.1,13,9.2,6.6,1956.1
112192,ATE,2015,12,6,23,75.79,22.1,8.1,6.1,6.9,1677.2
112192,ATE,2015,12,7,0,76.79,11.5,7.6,4.4,6.3,1650
112192,ATE,2015,12,7,1,80.72,26.5,4.4,3.4,7.9,1556.9
112192,ATE,2015,12,7,2,67.59,38.2,8.1,2.3,5.7,1440.8
112192,ATE,2015,12,7,3,58.63,34.5,12,5.3,5.6,1438.2
112192,ATE,2015,12,7,4,27.65,24.7,10.1,6.8,14,1384.8
112192,ATE,2015,12,7,5,29.46,14.9,8.1,7.5,11,1393.9
112192,ATE,2015,12,7,6,31.47,20.2,5.4,7.9,7.5,1433.2
112192,ATE,2015,12,7,7,33.13,22,3.6,8.3,6.2,1723.8
112192,ATE,2015,12,7,8,61.83,22.5,1.9,15.6,7.6,1948.2
112192,ATE,2015,12,7,9,49.2,24,1.2,6.1,11.1,1669.9
112192,ATE,2015,12,7,10,70.26,23.1,0.4,16.1,9.5,2068.4
112192,ATE,2015,12,7,11,95.87,26.3,3.2,25.1,12.1,2021.5
112192,ATE,2015,12,7,12,112.75,31.7,1.8,21.8,14.5,1837.5
112192,ATE,2015,12,7,13,107.28,23.1,1.9,19.6,19.3,1748.7
112192,ATE,2015,12,7,14,108.65,22.5,1.2,14.5,19.2,1677.3
