"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","DSede","DResidencia"
"36",18,"Ing. Mecatrónica",2,"Provincia",4,5,3,4,4,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)","san isidro","barranco"
"37",18,"Ing. Mecatrónica",2,"Lima Metropolitana o Callao",3,3,4,5,3,"E","Regular (sin apoyo alguno)",6,2,"Alquilado (compartido)","san isidro","cercado de lima"
"38",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",3,5,2,4,3,"B","Regular (sin apoyo alguno)",5,2,"Casa propia","san isidro","ate"
"39",19,"Ciencias de datos",1,"Lima Metropolitana o Callao",2,4,3,4,5,"E","Regular (sin apoyo alguno)",21,2,"Casa propia","miraflores","los olivos"
"40",21,"Ing. Mecánica",2,"Lima Metropolitana o Callao",1,3,3,5,5,"E","Becado (beca 18, beca utec, etc.)",20,3,"Casa propia","san isidro","ate"
"41",17,"Ing. Industrial",3,"Lima Metropolitana o Callao",4,4,5,5,5,"E","Con credito (ayuda financiera de UTEC)",5,1,"Casa propia","los olivos","los olivos"
"42",20,"Bioingeniería",4,"Lima Metropolitana o Callao",5,5,4,5,5,"E","Regular (sin apoyo alguno)",8,2,"Casa propia","barranco","pachacámac"
"43",21,"Ciencias de la computación",2,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",0,0,"Casa propia","san isidro","pueblo libre"
"44",19,"Bioingeniería",4,"Provincia",5,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)","barranco","barranco"
"45",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",2.5,1,"Alquilado (solo)","san isidro","los olivos"
"46",19,"Ing. Ambiental",3,"Provincia",3,5,3,4,4,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)","pueblo libre","barranco"
"47",17,"Ing. Mecánica",3,"Provincia",5,4,4,4,4,"E","Becado (beca 18, beca utec, etc.)",3,1,"Alquilado (compartido)","barranco","miraflores"
"48",23,"Ing. Civil",5,"Lima Metropolitana o Callao",4,5,5,5,4,"E","Becado (beca 18, beca utec, etc.)",10,2,"Casa propia","san borja","la molina"
"49",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,4,4,5,5,"E","Regular (sin apoyo alguno)",15,1,"Casa propia","san isidro","san martin de porres"
"50",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)","san isidro","barranco"
"51",17,"Ciencias de la computación",1,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",7,2,"Alquilado (compartido)","san isidro","san miguel"
"52",17,"Ciencias de la computación",1,"Lima Metropolitana o Callao",4,4,5,4,5,"C","Regular (sin apoyo alguno)",6,1,"Casa propia","san isidro","lince"
"53",17,"Ing. Química",1,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",10,2,"Casa de mis padres","pueblo libre","san martin de porres"
"54",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",4,4,3,4,4,"E","Con credito (ayuda financiera de UTEC)",30,2,"Casa propia","san isidro","surquillo"
"55",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",12,3,"Vivienda de un familiar","san borja","el agustino"
"56",19,"Bioingeniería",5,"Lima Metropolitana o Callao",5,5,5,5,5,"B","Regular (sin apoyo alguno)",0,1,"Casa propia","surco","santiago de surco"
"57",20,"Ing. Ambiental",3,"Lima Metropolitana o Callao",4,4,4,5,5,"D","Regular (sin apoyo alguno)",0,1,"Casa propia","san isidro","magdalena del mar"
"58",17,"Ing. Mecánica",1,"Lima Metropolitana o Callao",5,5,5,5,5,"C","Becado (beca 18, beca utec, etc.)",30,1,"Alquilado (compartido)","santiago de surco","santiago de surco"
"59",19,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",3,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",6,2,"Alquilado (compartido)","pueblo libre","callao"
"60",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",4,4,3,5,4,"E","Regular (sin apoyo alguno)",3,1,"Casa propia","la molina","san miguel"
"61",20,"Ing. Ambiental",4,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Becado (beca 18, beca utec, etc.)",6,3,"Casa propia","jesús maría","san juan de lurigancho"
"62",19,"Ing. Mecánica",2,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",10,4,"Casa propia","san borja","ate"
"63",21,"Ing. Ambiental",8,"Lima Metropolitana o Callao",3,4,4,5,4,"A","Regular (sin apoyo alguno)",16,2,"Alquilado (compartido)","san borja","santiago de surco"
"64",21,"Ing. Ambiental",2,"Lima Metropolitana o Callao",5,5,4,5,4,"E","Becado (beca 18, beca utec, etc.)",7,2,"Casa propia","puente piedra","puente piedra"
"65",17,"Ing. Mecatrónica",1,"Lima Metropolitana o Callao",5,5,4,4,5,"D","Regular (sin apoyo alguno)",20,1,"Casa propia","san borja","la molina"
"66",20,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,3,5,5,"E","Becado (beca 18, beca utec, etc.)",6,3,"Alquilado (compartido)","jesús maría","san juan de lurigancho"
"67",21,"Ing. Mecánica",3,"Provincia",5,5,5,5,4,"E","Con credito (ayuda financiera de UTEC)",2,1,"Alquilado (solo)","san borja","san juan de miraflores"
"68",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",4,2,3,5,4,"E","Regular (sin apoyo alguno)",14,2,"Casa propia","pueblo libre","san martin de porres"
"69",20,"Ing. Ambiental",5,"Lima Metropolitana o Callao",5,5,3,5,5,"D","Becado (beca 18, beca utec, etc.)",2.5,2,"Casa propia","jesús maría","puente piedra"
"70",22,"Ing. Civil",4,"Provincia",5,3,3,4,3,"E","Becado (beca 18, beca utec, etc.)",20,11,"Alquilado (solo)","san isidro","ate"
"71",20,"Ing. Civil",4,"Provincia",5,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)","pueblo libre","barranco"
"72",20,"Ing. Ambiental",3,"Lima Metropolitana o Callao",3,2,4,4,4,"E","Regular (sin apoyo alguno)",6,2,"Casa propia","san borja","san juan de lurigancho"
"73",18,"Ciencias de datos",2,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",60,1,"Casa propia","san borja","santiago de surco"
"74",18,"Ciencias de la computación",3,"Provincia",2,3,1,1,5,"E","Con credito (ayuda financiera de UTEC)",2,1,"Alquilado (solo)","jesús maría","chorrillos"
"75",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",5,5,5,5,5,"D","Becado (beca 18, beca utec, etc.)",5.5,2,"Alquilado (solo)","comas","comas"
"76",18,"Ciencias de la computación",3,"Lima Metropolitana o Callao",4,4,5,5,4,"B","Regular (sin apoyo alguno)",5,2,"Casa propia","san borja","la molina"
"77",19,"Ciencias de la computación",1,"Provincia",5,5,4,3,5,"E","Regular (sin apoyo alguno)",2.5,1,"Alquilado (solo)","jesús maría","breña"
"78",20,"Ing. Mecatrónica",6,"Provincia",4,3,3,4,3,"E","Regular (sin apoyo alguno)",3,1,"Alquilado (compartido)","surco","santiago de surco"
"79",17,"Ing. Mecánica",1,"Lima Metropolitana o Callao",2,2,4,4,5,"E","Regular (sin apoyo alguno)",47,1,"Casa propia","san isidro","san miguel"
