Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Croacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,2,3,3,3,
Haití,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungría,,,,,3,3,12,3,3,3,2,2,2,2,1,1,6,6,5,5,6,5,5,5,5,4,5,4,,,,4,3,3,3,4,4,3,3,2,3,2,2,2,3,2,3,3,2,2,3,3,3,3,2,3,2,3,3,3,
Sólo BIRF,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,,4,3,3,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,6,6,6,5,6,6,6,
BIRF y la AIF,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,,4,3,3,4,4,4,4,4,4,4,4,4,5,5,5,6,7,6,7,7,6,6,6,5,5,6,6,6,
total de la AIF,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
mezcla de la AIF,,,2,2,2,2,2,3,2,,2,2,2,2,3,2,2,2,2,2,,3,,2,2,3,2,3,,,,,,,,,2,3,2,2,2,2,2,2,,,3,3,2,2,2,2,2,2,2,2,2,3,2,2,
Indonesia,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,4,4,4,,6,5,5,4,4,4,5,4,4,3,4,4,4,3,3,4,3,4,4,4,3,4,4,3,3,3,3,3,5,4,4,
Sólo AIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,2,2,,,,
Isla de Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,6,6,6,7,5,8,7,7,10,9,8,7,7,5,5,6,6,7,6,6,,6,6,7,7,7,8,9,8,6,7,5,7,7,7,6,6,5,5,5,4,4,4,5,6,6,5,5,5,6,5,6,6,6,5,6,6,5,
No clasificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlanda,,,,3,3,3,4,3,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1
"Irán, República Islámica del",,,,2,2,1,2,2,2,2,3,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,3,2,0,,,,2,1,,1,2,2,1,2,2,,
Iraq,,,,1,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,3,,,,,,
