Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Croacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,76,73,67,69,73,75,73,73,75,75,77,76,73,72,73,70,70,67,63,61,62,65,68,71,70,70,70,
Haití,,,,,,,,,,,68,63,62,63,56,54,53,56,58,60,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungría,,,,,6,6,25,6,7,7,7,7,7,8,8,8,64,64,66,64,62,63,62,59,59,61,61,66,,,,72,73,74,72,75,74,79,84,86,84,84,84,84,84,77,75,76,73,72,72,71,71,72,74,78,83,81,81,81,
Sólo BIRF,,,,,,,,,,,,,,,,,,,,,,,,,63,58,61,71,,,,,72,75,75,74,71,72,74,72,69,71,72,73,71,70,67,67,64,67,66,62,62,62,63,67,69,66,65,66,
BIRF y la AIF,,,,,,,,,,,,,,,,,,,,,,,,,62,58,62,71,,,,,72,75,75,74,71,71,74,72,69,71,72,72,71,70,67,67,64,67,65,62,62,62,63,66,69,66,65,66,
total de la AIF,,,,,,,,,,,,,,,,,69,68,67,66,,,,,,,,,,,,,,,,,,65,65,,62,61,63,63,63,63,62,62,61,64,63,57,59,58,59,61,63,61,60,,
mezcla de la AIF,,,73,72,74,77,78,74,74,77,78,77,72,72,69,70,69,72,69,68,,64,,62,61,63,71,72,,,,,,,,,67,65,66,61,61,61,65,61,,,64,65,66,69,67,54,60,55,58,61,60,58,59,64,
Indonesia,,,,,,,,86,71,78,79,84,83,83,75,77,73,67,68,66,65,69,66,62,67,72,74,75,,73,76,76,76,76,75,73,71,73,70,58,61,61,59,56,57,55,53,53,62,65,63,60,62,60,59,65,67,62,65,68,
Sólo AIF,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,62,61,62,63,65,65,61,61,57,61,60,58,58,59,,61,,,,,
Isla de Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,58,60,61,58,47,48,54,50,49,57,61,54,43,56,38,43,48,47,39,39,,49,49,54,67,53,57,59,51,50,49,53,50,53,49,50,47,46,42,44,48,49,48,48,46,46,44,48,45,41,39,39,41,48,52,50,49,50,
No clasificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irlanda,,,,55,58,58,58,58,61,66,66,64,66,68,62,64,64,65,70,69,66,66,66,67,68,68,71,73,76,76,76,76,77,73,74,76,77,79,81,81,82,82,81,79,78,77,75,73,70,68,70,71,71,70,73,77,80,79,79,80,81
