Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
843280,"""Máquinas; aparatos y artefactos agrícolas; hortícolas o silvícolas; para la preparación o ...",348,881,316,452,356,511,465,396,95,300,441,132,163,682,258,185,79,107,107,149
701959,"""Tejidos; incl. cintas; de fibra de vidrio; de anchura > 30 cm (exc. tejidos de filamentos ...",16,42,48,110,157,124,134,9,30,66,197,187,310,220,97,200,166,167,101,149
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),0,0,0,0,0,22,4,9,1,0,0,0,54,26,8,6,23,47,20,148
290899,Derivados halogenados; sulfonados; nitrados o nitrosados ??de los fenoles o fenoles-alcoholes ...,0,0,0,0,0,93,2,0,30,123,114,91,137,108,120,130,129,116,36,148
847030,Máquinas de calcular no electrónicas,588,352,349,268,329,433,387,259,318,715,274,374,146,62,72,151,96,122,27,147
830150,Cierres y monturas cierre; con cerradura; de metal común,23,41,25,54,43,83,75,46,41,35,82,128,60,32,12,45,33,55,49,147
320420,Productos orgánicos sintéticos de los tipos utilizados para el avivado fluorescente; incl. ...,212,382,397,344,444,330,431,400,411,319,54,63,38,260,212,141,129,136,185,147
410719,Cueros preparados después del curtido o del secado y cueros y pieles apergaminados; enteros; ...,0,0,0,0,0,0,74,0,29,122,70,131,42,245,152,4,40,105,54,146
580790,Etiquetas; escudos y artículos simil.; de materia textil; en pieza; en cintas o recortados; ...,82,127,137,93,200,210,184,118,206,321,293,219,175,205,254,207,112,149,179,146
611530,Medias de mujer que cubren hasta la rodilla; de punto; de fibras sintéticas; de título < 67 ...,0,0,0,0,0,49,62,69,49,22,27,23,17,11,7,84,105,141,136,146
551311,Tejidos de fibras sintéticas discontinuas; con un alto contenido de fibras discontinuas de ...,510,686,494,579,529,733,550,501,535,970,909,1006,674,1109,595,763,810,500,186,145
252800,Boratos naturales y sus concentrados (incluso calcinados); excepto los boratos extraídos de ...,0,0,0,0,0,0,0,0,0,0,20,0,0,41,0,1,8,0,411,145
853339,Resistencias variables bobinadas; incl. los reóstatos y los potenciómetros; de potencia > 20 ...,6,5,5,17,19,11,28,18,48,22,20,27,19,18,38,49,66,74,27,145
251910,"""Carbonato de magnesio natural """"magnesita""""""",0,9,0,0,0,1356,163,19,0,0,0,13,68,172,9,1345,379,105,8,145
630420,mosquiteros; de punto por urdimbre; antimalárico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,73,36,20,144
320413,Colorantes básicos sintéticos orgánicos; preparaciones a base de colorantes básicos sintéticos ...,44,38,61,222,559,530,159,195,111,155,158,354,447,340,409,183,210,199,124,144
170220,"""Azúcar sólido de arce [""""maple""""] y jarabe de arce [""""maple""""]; sin adición de aromatizante ...",34,48,50,80,80,131,125,145,173,172,170,183,189,182,195,247,137,199,130,144
621040,Prendas de tejidos para hombres o niños; engomados o impregnados; revestidos; revestidos o ...,31,82,472,946,579,441,40,65,51,36,36,114,40,50,24,47,69,425,39,144
