Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
852790,Aparatos receptores de radiotelefonía; radiotelegrafía o radiodifusión comercial,325,29,34,74,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852861,Projectores; principalmente para usar en máquinas procesadoras de datos automáticas de la clase ...,0,0,0,0,0,218,22,85,8,31,135,94,32,2598,3834,0,0,0,0,0
852873,Aparatos receptores de televisión; incl. con un aparato receptor de radiodifusión o un aparato ...,0,0,0,0,0,2,9,1,5,1,11,0,0,0,0,0,0,0,0,0
852812,Aparatos receptores de televisión; incl. con aparato receptor de radiodifusión o de grabación ...,126117,93231,129310,100375,80697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852813,Aparatos receptores de televisión; incl. con un aparato receptor de radiodifusión o un aparato ...,0,4,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852821,Videomonitores; en colores,990,493,866,1007,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852822,Videomonitores; en blanco y negro o demás monocromos,27,44,142,62,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852830,Videoproyectores,49,14,61,445,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852841,Monitores con tubos catódicos; principalmente para usar en máquinas procesadoras de datos automáticas ...,0,0,0,0,0,16971,8080,178,156,57,48,41,26,12,23,0,0,0,0,0
852792,Aparatos receptores de radiodifusión; que solo funcionen conectados a la red; incl. los que ...,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
852851,Unidades de entrada o salida; para máquinas automáticas para tratamiento o procesamiento de ...,0,0,0,0,0,44180,47725,91863,41532,2190,2071,1243,1039,1215,1611,19,0,0,0,0
010210,Animales vivos de la especie bovina : Reproductores de raza pura,611,486,3448,1081,804,4385,19329,10436,2907,4304,0,0,0,0,0,0,0,0,0,0
010130,Asnos vivos,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,16,0,0
010110,Caballos; asnos; mulos y burdéganos; vivos : Reproductores de raza pura,855,1222,1446,1372,4604,3140,4199,3367,2166,1725,0,0,0,0,0,0,0,0,0,0
010111,Caballos reproductores de raza pura.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010119,Los demas caballos vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
